id,Название,Цена,Цена без скидки
602,"Конфеты FERRERO ROCHER из молочного шоколада с кремовой начинкой, 200г",54999,59999
1175,"Конфеты TOFFIFEE с лесным орехом, 125г",15999,24999
2920,"Конфеты RAFFAELLO с цельным миндальным орехом в кокосовой обсыпке, 150г",29999,39999
7545,"Шоколад KINDER Chocolate с молочной начинкой, 8х12,5г",13999,13999
12825,"Печенье ПОСИДЕЛКИНО Любимое Овсяное с добавлением шоколадных кусочков, 310г",12999,12999
13622,"Круассан 7DAYS с кремом какао, 65г",3999,6499
14329,"Конфеты Ф.КРУПСКОЙ Сказки Перро, 200г",12999,18999
14330,"Конфеты Ф.КРУПСКОЙ Мишка на севере, 200г",18999,25999
14646,"Драже TIC TAC Мята, 16г",5999,6999
42512,"Шоколад горький LINDT Excellence 70% какао, 100г",29999,39999
42514,"Шоколад темный LINDT Excellence с апельсином и миндалем, 100г",29999,39999
46180,"Торт вафельный ПЕКАРЬ Балтийский глазированный, 320г",17999,19999
46913,"Батончик шоколадный BOUNTY Молочный, 55г",4999,5499
46916,"Батончик шоколадный MILKY WAY, 26г",2499,2999
46917,"Батончик шоколадный TWIX, 55г",4999,5499
47602,"Конфеты Ф.КРУПСКОЙ Ленинградские, 200г",11999,14499
49568,"Шоколад темный ВДОХНОВЕНИЕ Классический, 100г",12999,19999
50748,"Батончик шоколадный MARS с нугой и карамелью, 50г",5999,6999
51961,"Шоколад молочный RITTER SPORT Ром, изюм, орех, 100г",14999,18999
52650,"Батончик шоколадный NUTS Мегабайт duo, 66г",6499,7999
55437,"Зефир ШАРМЭЛЬ с ароматом ванили, 255г",13999,19999
55444,"Пастила ШАРМЭЛЬ с ароматом ванили, 221г",12999,15999
55445,"Пастила ШАРМЭЛЬ Клюквенная, 221г",12999,15999
58043,"Яйцо шоколадное KINDER Surprise из молочного шоколада с игрушкой, 20г",9999,11999
58146,"Конфеты КОМИЛЬФО Фисташка с двухслойной начинкой, 116г",29999,49999
58381,"Шоколад KINDER Chocolate с молочной начинкой, 4х12,5г",7499,7499
58437,"Драже TIC TAC Апельсин, 16г",6999,6999
58889,"Шоколад молочный RITTER SPORT Йогурт, 100г",11499,18999
61506,"Конфеты КРАСНЫЙ ОКТЯБРЬ Ирис Кис-кис, 250г",10999,15999
63959,"Шоколад молочный RITTER SPORT Альпийское молоко, 100г",14999,18999
67716,"Карамель РОТ ФРОНТ Барбарис, 250г",8499,9999
67728,"Конфеты КРАСНЫЙ ОКТЯБРЬ Цитрон, 250г",12499,16999
69380,"Рулет ЧЕРЕМУШКИ Сдобная Особа с маковой начинкой, 400г",22999,22999
72202,"Вафли KINDER Bueno в молочном шоколаде, 43г",8499,10999
72204,"Пирожное бисквитное KINDER Delice с молочной начинкой, 39г",7499,8999
72637,"Шоколад горький LINDT Excellence 85% какао,100г",29999,39999
73103,"Батончик TWIX Xtra с карамелью и печеньем, 82г",6499,8499
73105,"Батончик BOUNTY Трио, 82,5г",6499,8499
75984,"Пряник ТУЛЬСКИЙ с начинкой вареная сгущенка, 140г",4999,8999
76045,"Мармелад жевательный БОН ПАРИ Кислые червячки, 75г",9999,9999
77447,"Вафли ЯШКИНО Шоколадные, 300г",8999,12999
81366,"Конфеты КРАСНЫЙ ОКТЯБРЬ Ласточка, 250г",12499,19999
82409,"Набор конфет БАБАЕВСКИЙ Ассорти, 300г",29999,59999
